from,to,relationship
297549ba-b6e1-462b-b9ca-bfac1adf7dfc,a4605d05-70f4-4900-bfab-06e2179f502f,hasResponsiblePrincipalInvestigator
90c08b01-9027-4827-baf7-9794c67c9ce0,a4605d05-70f4-4900-bfab-06e2179f502f,hasResponsiblePrincipalInvestigator
dc4a8446-aee7-40d4-8521-cb9ed5dd0744,a4605d05-70f4-4900-bfab-06e2179f502f,hasResponsiblePrincipalInvestigator
